date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type,purpose1,type1
1954-10-30,1954,54016,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,10.0,10.0,WR,,SURFACE,WR,ATMOSPH
1955-02-18,1955,55001,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.25,1.0,1.0,WE,WASP,AIRDROP,PNE,ATMOSPH
1955-02-22,1955,55002,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,2.0,2.0,WR,MOTH,TOWER,WR,ATMOSPH
1955-03-01,1955,55003,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,7.0,7.0,WR,TESLA,TOWER,WR,ATMOSPH
1955-03-07,1955,55004,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,43.0,43.0,WR,TURK,TOWER,WR,ATMOSPH
1955-03-12,1955,55005,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,4.0,4.0,WR,HORNET,TOWER,WR,ATMOSPH
1955-03-22,1955,55006,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,8.0,8.0,WR,BEE,TOWER,WR,ATMOSPH
1955-03-23,1955,55007,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.02,1.0,1.0,WE,ESS,CRATER,PNE,ATMOSPH
1955-03-29,1955,55008,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,14.0,14.0,WR,APPLE :1,TOWER,WR,ATMOSPH
1955-03-29,1955,55009,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.25,3.0,3.0,WR,WASP PRIME,AIRDROP,WR,ATMOSPH
1955-04-06,1955,55010,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-12.0,3.0,3.0,WE,HA,AIRDROP,PNE,ATMOSPH
1955-04-09,1955,55011,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,2.0,2.0,WR,POST,TOWER,WR,ATMOSPH
1955-04-15,1955,55012,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.001,22.0,22.0,WE,MET,TOWER,PNE,ATMOSPH
1955-05-05,1955,55013,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,29.0,29.0,WR,APPLE:2,TOWER,WR,ATMOSPH
1955-05-14,1955,55014,USA,OFFUSWCOAST,DOE,29.0,-126.0,0.0,0.0,0.0,30.0,30.0,WE,WIGWAM,UW,PNE,UNDERWATER
1955-05-15,1955,55015,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,28.0,28.0,WR,ZUCCHINI,TOWER,WR,ATMOSPH
1955-07-29,1955,55016,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,1.3,1.3,WR,,SURFACE,WR,ATMOSPH
1955-08-02,1955,55017,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,12.0,12.0,WR,,SURFACE,WR,ATMOSPH
